Name                                                                 Type            Forward_MACs    FPercent    Memory         MPercent    Params      PPercent    InShape        OutShape
-------------------------------------------------------------------  --------------  --------------  ----------  -------------  ----------  ----------  ----------  -------------  -------------
/model/backbone/conv1/conv1_1/conv/Conv                              Conv            91,750,400      0.30%       13,110,784     1.28%       896         0.00%       1x3x640x640    1x32x320x320
/model/backbone/conv1/conv1_1/act/Relu                               Relu            3,276,800       0.01%       13,107,200     1.28%       0           0.00%       1x32x320x320   1x32x320x320
/model/backbone/conv1/conv1_2/conv/Conv                              Conv            946,995,200     3.06%       13,144,192     1.28%       9,248       0.05%       1x32x320x320   1x32x320x320
/model/backbone/conv1/conv1_2/act/Relu                               Relu            3,276,800       0.01%       13,107,200     1.28%       0           0.00%       1x32x320x320   1x32x320x320
/model/backbone/conv1/conv1_3/conv/Conv                              Conv            1,893,990,400   6.12%       26,288,384     2.57%       18,496      0.09%       1x32x320x320   1x64x320x320
/model/backbone/conv1/conv1_3/act/Relu                               Relu            6,553,600       0.02%       26,214,400     2.56%       0           0.00%       1x64x320x320   1x64x320x320
/model/backbone/MaxPool                                              MaxPool         14,745,600      0.05%       6,553,600      0.64%       0           0.00%       1x64x320x320   1x64x160x160
/model/backbone/res_layers.0/blocks.0/branch2a/conv/Conv             Conv            945,356,800     3.05%       6,701,312      0.65%       36,928      0.18%       1x64x160x160   1x64x160x160
/model/backbone/res_layers.0/blocks.0/short/conv/Conv                Conv            106,496,000     0.34%       6,570,240      0.64%       4,160       0.02%       1x64x160x160   1x64x160x160
/model/backbone/res_layers.0/blocks.0/branch2a/act/Relu              Relu            1,638,400       0.01%       6,553,600      0.64%       0           0.00%       1x64x160x160   1x64x160x160
/model/backbone/res_layers.0/blocks.0/branch2b/conv/Conv             Conv            945,356,800     3.05%       6,701,312      0.65%       36,928      0.18%       1x64x160x160   1x64x160x160
/model/backbone/res_layers.0/blocks.0/Add                            Add             1,638,400       0.01%       6,553,600      0.64%       0           0.00%       1x64x160x160   1x64x160x160
/model/backbone/res_layers.0/blocks.0/act/Relu                       Relu            1,638,400       0.01%       6,553,600      0.64%       0           0.00%       1x64x160x160   1x64x160x160
/model/backbone/res_layers.0/blocks.1/branch2a/conv/Conv             Conv            945,356,800     3.05%       6,701,312      0.65%       36,928      0.18%       1x64x160x160   1x64x160x160
/model/backbone/res_layers.0/blocks.1/branch2a/act/Relu              Relu            1,638,400       0.01%       6,553,600      0.64%       0           0.00%       1x64x160x160   1x64x160x160
/model/backbone/res_layers.0/blocks.1/branch2b/conv/Conv             Conv            945,356,800     3.05%       6,701,312      0.65%       36,928      0.18%       1x64x160x160   1x64x160x160
/model/backbone/res_layers.0/blocks.1/Add                            Add             1,638,400       0.01%       6,553,600      0.64%       0           0.00%       1x64x160x160   1x64x160x160
/model/backbone/res_layers.0/blocks.1/act/Relu                       Relu            1,638,400       0.01%       6,553,600      0.64%       0           0.00%       1x64x160x160   1x64x160x160
/model/backbone/res_layers.1/blocks.0/branch2a/conv/Conv             Conv            472,678,400     1.53%       3,572,224      0.35%       73,856      0.37%       1x64x160x160   1x128x80x80
/model/backbone/res_layers.1/blocks.0/short/pool/AveragePool         AveragePool     1,638,400       0.01%       1,638,400      0.16%       0           0.00%       1x64x160x160   1x64x80x80
/model/backbone/res_layers.1/blocks.0/branch2a/act/Relu              Relu            819,200         0.00%       3,276,800      0.32%       0           0.00%       1x128x80x80    1x128x80x80
/model/backbone/res_layers.1/blocks.0/short/conv/conv/Conv           Conv            53,248,000      0.17%       3,310,080      0.32%       8,320       0.04%       1x64x80x80     1x128x80x80
/model/backbone/res_layers.1/blocks.0/branch2b/conv/Conv             Conv            944,537,600     3.05%       3,867,136      0.38%       147,584     0.74%       1x128x80x80    1x128x80x80
/model/backbone/res_layers.1/blocks.0/Add                            Add             819,200         0.00%       3,276,800      0.32%       0           0.00%       1x128x80x80    1x128x80x80
/model/backbone/res_layers.1/blocks.0/act/Relu                       Relu            819,200         0.00%       3,276,800      0.32%       0           0.00%       1x128x80x80    1x128x80x80
/model/backbone/res_layers.1/blocks.1/branch2a/conv/Conv             Conv            944,537,600     3.05%       3,867,136      0.38%       147,584     0.74%       1x128x80x80    1x128x80x80
/model/backbone/res_layers.1/blocks.1/branch2a/act/Relu              Relu            819,200         0.00%       3,276,800      0.32%       0           0.00%       1x128x80x80    1x128x80x80
/model/backbone/res_layers.1/blocks.1/branch2b/conv/Conv             Conv            944,537,600     3.05%       3,867,136      0.38%       147,584     0.74%       1x128x80x80    1x128x80x80
/model/backbone/res_layers.1/blocks.1/Add                            Add             819,200         0.00%       3,276,800      0.32%       0           0.00%       1x128x80x80    1x128x80x80
/model/backbone/res_layers.1/blocks.1/act/Relu                       Relu            819,200         0.00%       3,276,800      0.32%       0           0.00%       1x128x80x80    1x128x80x80
/model/backbone/res_layers.2/blocks.0/branch2a/conv/Conv             Conv            472,268,800     1.53%       2,819,072      0.28%       295,168     1.47%       1x128x80x80    1x256x40x40
/model/backbone/res_layers.2/blocks.0/short/pool/AveragePool         AveragePool     819,200         0.00%       819,200        0.08%       0           0.00%       1x128x80x80    1x128x40x40
/model/encoder/input_proj.0/input_proj.0.0/Conv                      Conv            211,353,600     0.68%       6,685,696      0.65%       33,024      0.16%       1x128x80x80    1x256x80x80
/model/backbone/res_layers.2/blocks.0/branch2a/act/Relu              Relu            409,600         0.00%       1,638,400      0.16%       0           0.00%       1x256x40x40    1x256x40x40
/model/backbone/res_layers.2/blocks.0/short/conv/conv/Conv           Conv            52,838,400      0.17%       1,770,496      0.17%       33,024      0.16%       1x128x40x40    1x256x40x40
/model/backbone/res_layers.2/blocks.0/branch2b/conv/Conv             Conv            944,128,000     3.05%       3,998,720      0.39%       590,080     2.94%       1x256x40x40    1x256x40x40
/model/backbone/res_layers.2/blocks.0/Add                            Add             409,600         0.00%       1,638,400      0.16%       0           0.00%       1x256x40x40    1x256x40x40
/model/backbone/res_layers.2/blocks.0/act/Relu                       Relu            409,600         0.00%       1,638,400      0.16%       0           0.00%       1x256x40x40    1x256x40x40
/model/backbone/res_layers.2/blocks.1/branch2a/conv/Conv             Conv            944,128,000     3.05%       3,998,720      0.39%       590,080     2.94%       1x256x40x40    1x256x40x40
/model/backbone/res_layers.2/blocks.1/branch2a/act/Relu              Relu            409,600         0.00%       1,638,400      0.16%       0           0.00%       1x256x40x40    1x256x40x40
/model/backbone/res_layers.2/blocks.1/branch2b/conv/Conv             Conv            944,128,000     3.05%       3,998,720      0.39%       590,080     2.94%       1x256x40x40    1x256x40x40
/model/backbone/res_layers.2/blocks.1/Add                            Add             409,600         0.00%       1,638,400      0.16%       0           0.00%       1x256x40x40    1x256x40x40
/model/backbone/res_layers.2/blocks.1/act/Relu                       Relu            409,600         0.00%       1,638,400      0.16%       0           0.00%       1x256x40x40    1x256x40x40
/model/backbone/res_layers.3/blocks.0/branch2a/conv/Conv             Conv            472,064,000     1.52%       5,539,840      0.54%       1,180,160   5.88%       1x256x40x40    1x512x20x20
/model/backbone/res_layers.3/blocks.0/short/pool/AveragePool         AveragePool     409,600         0.00%       409,600        0.04%       0           0.00%       1x256x40x40    1x256x20x20
/model/encoder/input_proj.1/input_proj.1.0/Conv                      Conv            105,267,200     0.34%       1,901,568      0.19%       65,792      0.33%       1x256x40x40    1x256x40x40
/model/backbone/res_layers.3/blocks.0/branch2a/act/Relu              Relu            204,800         0.00%       819,200        0.08%       0           0.00%       1x512x20x20    1x512x20x20
/model/backbone/res_layers.3/blocks.0/short/conv/conv/Conv           Conv            52,633,600      0.17%       1,345,536      0.13%       131,584     0.66%       1x256x20x20    1x512x20x20
/model/backbone/res_layers.3/blocks.0/branch2b/conv/Conv             Conv            943,923,200     3.05%       10,258,432     1.00%       2,359,808   11.77%      1x512x20x20    1x512x20x20
/model/backbone/res_layers.3/blocks.0/Add                            Add             204,800         0.00%       819,200        0.08%       0           0.00%       1x512x20x20    1x512x20x20
/model/backbone/res_layers.3/blocks.0/act/Relu                       Relu            204,800         0.00%       819,200        0.08%       0           0.00%       1x512x20x20    1x512x20x20
/model/backbone/res_layers.3/blocks.1/branch2a/conv/Conv             Conv            943,923,200     3.05%       10,258,432     1.00%       2,359,808   11.77%      1x512x20x20    1x512x20x20
/model/backbone/res_layers.3/blocks.1/branch2a/act/Relu              Relu            204,800         0.00%       819,200        0.08%       0           0.00%       1x512x20x20    1x512x20x20
/model/backbone/res_layers.3/blocks.1/branch2b/conv/Conv             Conv            943,923,200     3.05%       10,258,432     1.00%       2,359,808   11.77%      1x512x20x20    1x512x20x20
/model/backbone/res_layers.3/blocks.1/Add                            Add             204,800         0.00%       819,200        0.08%       0           0.00%       1x512x20x20    1x512x20x20
