Name                                 Type       MACs             CPercent    Memory         MPercent    Params      PPercent    InShape         OutShape        VACC    Relay
-----------------------------------  ---------  ---------------  ----------  -------------  ----------  ----------  ----------  --------------  --------------  ------  -------
/model.10/Constant                   Constant   0                0.00%       0              0.00%       0           0.00%       0               4               fail    fail
/model.10/Constant_1                 Constant   0                0.00%       0              0.00%       0           0.00%       0               0               fail    fail
/model.12/Constant                   Constant   0                0.00%       0              0.00%       0           0.00%       0               1               fail    fail
/model.12/Constant_1                 Constant   0                0.00%       0              0.00%       0           0.00%       0               1               fail    fail
/model.12/Constant_2                 Constant   0                0.00%       0              0.00%       0           0.00%       0               1               fail    fail
/model.12/Constant_3                 Constant   0                0.00%       0              0.00%       0           0.00%       0               1               fail    fail
/model.12/Constant_4                 Constant   0                0.00%       0              0.00%       0           0.00%       0               1               fail    fail
/model.12/Constant_5                 Constant   0                0.00%       0              0.00%       0           0.00%       0               1               fail    fail
/model.12/attn/gl/Constant           Constant   0                0.00%       0              0.00%       0           0.00%       0               1x80x512        fail    fail
/model.12/attn/gl/MatMul             MatMul     10,485,760       0.00%       606,208        0.01%       131,072     0.28%       1x80x512        1x80x256        fail    fail
/model.12/attn/gl/Add                Add        20,480           0.00%       82,944         0.00%       256         0.00%       256             1x80x256        fail    fail
/model.12/attn/Constant              Constant   0                0.00%       0              0.00%       0           0.00%       0               4               fail    fail
/model.12/attn/Reshape               Reshape    0                0.00%       81,920         0.00%       0           0.00%       1x80x256        1x80x8x32       fail    fail
/model.12/attn/Constant_1            Constant   0                0.00%       0              0.00%       0           0.00%       0               5               fail    fail
/model.12/attn/Constant_2            Constant   0                0.00%       0              0.00%       0           0.00%       0               0               fail    fail
/model.12/attn/Constant_3            Constant   0                0.00%       0              0.00%       0           0.00%       0               0               fail    fail
/model.12/attn/Constant_4            Constant   0                0.00%       0              0.00%       0           0.00%       0               5               fail    fail
/model.12/attn/Constant_5            Constant   0                0.00%       0              0.00%       0           0.00%       0               4               fail    fail
/model.13/Constant                   Constant   0                0.00%       0              0.00%       0           0.00%       0               4               fail    fail
/model.13/Constant_1                 Constant   0                0.00%       0              0.00%       0           0.00%       0               0               fail    fail
/model.15/Constant                   Constant   0                0.00%       0              0.00%       0           0.00%       0               1               fail    fail
