Name                                                                                     Type                   Forward_MACs     FPercent    Memory          MPercent    Params      PPercent    InShape        OutShape
---------------------------------------------------------------------------------------  ---------------------  ---------------  ----------  --------------  ----------  ----------  ----------  -------------  -------------
/backbone/stem/conv1/Conv                                                                Conv                   2,483,027,968    0.92%       67,146,752      0.30%       9,472       0.01%       1x3x1024x1024  1x64x512x512
/backbone/stem/Relu                                                                      Relu                   16,777,216       0.01%       67,108,864      0.30%       0           0.00%       1x64x512x512   1x64x512x512
/backbone/stem/MaxPool                                                                   MaxPool                37,748,736       0.01%       16,777,216      0.08%       0           0.00%       1x64x512x512   1x64x256x256
/backbone/res2/res2.0/conv1/Conv                                                         Conv                   272,629,760      0.10%       16,793,856      0.08%       4,160       0.01%       1x64x256x256   1x64x256x256
/backbone/res2/res2.0/shortcut/Conv                                                      Conv                   1,090,519,040    0.41%       67,175,424      0.30%       16,640      0.02%       1x64x256x256   1x256x256x256
/backbone/res2/res2.0/Relu                                                               Relu                   4,194,304        0.00%       16,777,216      0.08%       0           0.00%       1x64x256x256   1x64x256x256
/backbone/res2/res2.0/conv2/Conv                                                         Conv                   2,420,113,408    0.90%       16,924,928      0.08%       36,928      0.05%       1x64x256x256   1x64x256x256
/backbone/res2/res2.0/Relu_1                                                             Relu                   4,194,304        0.00%       16,777,216      0.08%       0           0.00%       1x64x256x256   1x64x256x256
/backbone/res2/res2.0/conv3/Conv                                                         Conv                   1,090,519,040    0.41%       67,175,424      0.30%       16,640      0.02%       1x64x256x256   1x256x256x256
/backbone/res2/res2.0/Add                                                                Add                    16,777,216       0.01%       67,108,864      0.30%       0           0.00%       1x256x256x256  1x256x256x256
/backbone/res2/res2.0/Relu_2                                                             Relu                   16,777,216       0.01%       67,108,864      0.30%       0           0.00%       1x256x256x256  1x256x256x256
/backbone/res2/res2.1/conv1/Conv                                                         Conv                   1,077,936,128    0.40%       16,843,008      0.08%       16,448      0.02%       1x256x256x256  1x64x256x256
/backbone/res2/res2.1/Relu                                                               Relu                   4,194,304        0.00%       16,777,216      0.08%       0           0.00%       1x64x256x256   1x64x256x256
/backbone/res2/res2.1/conv2/Conv                                                         Conv                   2,420,113,408    0.90%       16,924,928      0.08%       36,928      0.05%       1x64x256x256   1x64x256x256
/backbone/res2/res2.1/Relu_1                                                             Relu                   4,194,304        0.00%       16,777,216      0.08%       0           0.00%       1x64x256x256   1x64x256x256
/backbone/res2/res2.1/conv3/Conv                                                         Conv                   1,090,519,040    0.41%       67,175,424      0.30%       16,640      0.02%       1x64x256x256   1x256x256x256
/backbone/res2/res2.1/Add                                                                Add                    16,777,216       0.01%       67,108,864      0.30%       0           0.00%       1x256x256x256  1x256x256x256
/backbone/res2/res2.1/Relu_2                                                             Relu                   16,777,216       0.01%       67,108,864      0.30%       0           0.00%       1x256x256x256  1x256x256x256
/backbone/res2/res2.2/conv1/Conv                                                         Conv                   1,077,936,128    0.40%       16,843,008      0.08%       16,448      0.02%       1x256x256x256  1x64x256x256
/backbone/res2/res2.2/Relu                                                               Relu                   4,194,304        0.00%       16,777,216      0.08%       0           0.00%       1x64x256x256   1x64x256x256
/backbone/res2/res2.2/conv2/Conv                                                         Conv                   2,420,113,408    0.90%       16,924,928      0.08%       36,928      0.05%       1x64x256x256   1x64x256x256
/backbone/res2/res2.2/Relu_1                                                             Relu                   4,194,304        0.00%       16,777,216      0.08%       0           0.00%       1x64x256x256   1x64x256x256
/backbone/res2/res2.2/conv3/Conv                                                         Conv                   1,090,519,040    0.41%       67,175,424      0.30%       16,640      0.02%       1x64x256x256   1x256x256x256
/backbone/res2/res2.2/Add                                                                Add                    16,777,216       0.01%       67,108,864      0.30%       0           0.00%       1x256x256x256  1x256x256x256
/backbone/res2/res2.2/Relu_2                                                             Relu                   16,777,216       0.01%       67,108,864      0.30%       0           0.00%       1x256x256x256  1x256x256x256
/backbone/res3/res3.0/conv1/Conv                                                         Conv                   2,155,872,256    0.80%       33,686,016      0.15%       32,896      0.04%       1x256x256x256  1x128x256x256
/backbone/res3/res3.0/shortcut/Conv                                                      Conv                   2,155,872,256    0.80%       34,080,768      0.15%       131,584     0.16%       1x256x256x256  1x512x128x128
/sem_seg_head/adapter_1/Conv                                                             Conv                   4,294,967,296    1.60%       67,371,008      0.30%       65,536      0.08%       1x256x256x256  1x256x256x256
/backbone/res3/res3.0/Relu                                                               Relu                   8,388,608        0.00%       33,554,432      0.15%       0           0.00%       1x128x256x256  1x128x256x256
/backbone/res3/res3.0/conv2/Conv                                                         Conv                   2,418,016,256    0.90%       8,978,944       0.04%       147,584     0.18%       1x128x256x256  1x128x128x128
/sem_seg_head/adapter_1/norm/InstanceNormalization                                       InstanceNormalization  117,440,512      0.04%       67,109,120      0.30%       64          0.00%       1x32x524288    1x32x524288
/backbone/res3/res3.0/Relu_1                                                             Relu                   2,097,152        0.00%       8,388,608       0.04%       0           0.00%       1x128x128x128  1x128x128x128
/backbone/res3/res3.0/conv3/Conv                                                         Conv                   1,082,130,432    0.40%       33,818,624      0.15%       66,048      0.08%       1x128x128x128  1x512x128x128
/sem_seg_head/adapter_1/norm/Mul                                                         Mul                    16,777,216       0.01%       67,109,888      0.30%       256         0.00%       1x256x256x256  1x256x256x256
/backbone/res3/res3.0/Add                                                                Add                    8,388,608        0.00%       33,554,432      0.15%       0           0.00%       1x512x128x128  1x512x128x128
/sem_seg_head/adapter_1/norm/Add                                                         Add                    16,777,216       0.01%       67,109,888      0.30%       256         0.00%       1x256x256x256  1x256x256x256
/backbone/res3/res3.0/Relu_2                                                             Relu                   8,388,608        0.00%       33,554,432      0.15%       0           0.00%       1x512x128x128  1x512x128x128
/backbone/res3/res3.1/conv1/Conv                                                         Conv                   1,075,838,976    0.40%       8,651,264       0.04%       65,664      0.08%       1x512x128x128  1x128x128x128
/backbone/res3/res3.1/Relu                                                               Relu                   2,097,152        0.00%       8,388,608       0.04%       0           0.00%       1x128x128x128  1x128x128x128
/backbone/res3/res3.1/conv2/Conv                                                         Conv                   2,418,016,256    0.90%       8,978,944       0.04%       147,584     0.18%       1x128x128x128  1x128x128x128
/backbone/res3/res3.1/Relu_1                                                             Relu                   2,097,152        0.00%       8,388,608       0.04%       0           0.00%       1x128x128x128  1x128x128x128
/backbone/res3/res3.1/conv3/Conv                                                         Conv                   1,082,130,432    0.40%       33,818,624      0.15%       66,048      0.08%       1x128x128x128  1x512x128x128
/backbone/res3/res3.1/Add                                                                Add                    8,388,608        0.00%       33,554,432      0.15%       0           0.00%       1x512x128x128  1x512x128x128
/backbone/res3/res3.1/Relu_2                                                             Relu                   8,388,608        0.00%       33,554,432      0.15%       0           0.00%       1x512x128x128  1x512x128x128
/backbone/res3/res3.2/conv1/Conv                                                         Conv                   1,075,838,976    0.40%       8,651,264       0.04%       65,664      0.08%       1x512x128x128  1x128x128x128
/backbone/res3/res3.2/Relu                                                               Relu                   2,097,152        0.00%       8,388,608       0.04%       0           0.00%       1x128x128x128  1x128x128x128
/backbone/res3/res3.2/conv2/Conv                                                         Conv                   2,418,016,256    0.90%       8,978,944       0.04%       147,584     0.18%       1x128x128x128  1x128x128x128
/backbone/res3/res3.2/Relu_1                                                             Relu                   2,097,152        0.00%       8,388,608       0.04%       0           0.00%       1x128x128x128  1x128x128x128
/backbone/res3/res3.2/conv3/Conv                                                         Conv                   1,082,130,432    0.40%       33,818,624      0.15%       66,048      0.08%       1x128x128x128  1x512x128x128
/backbone/res3/res3.2/Add                                                                Add                    8,388,608        0.00%       33,554,432      0.15%       0           0.00%       1x512x128x128  1x512x128x128
/backbone/res3/res3.2/Relu_2                                                             Relu                   8,388,608        0.00%       33,554,432      0.15%       0           0.00%       1x512x128x128  1x512x128x128
/backbone/res3/res3.3/conv1/Conv                                                         Conv                   1,075,838,976    0.40%       8,651,264       0.04%       65,664      0.08%       1x512x128x128  1x128x128x128
/backbone/res3/res3.3/Relu                                                               Relu                   2,097,152        0.00%       8,388,608       0.04%       0           0.00%       1x128x128x128  1x128x128x128
/backbone/res3/res3.3/conv2/Conv                                                         Conv                   2,418,016,256    0.90%       8,978,944       0.04%       147,584     0.18%       1x128x128x128  1x128x128x128
/backbone/res3/res3.3/Relu_1                                                             Relu                   2,097,152        0.00%       8,388,608       0.04%       0           0.00%       1x128x128x128  1x128x128x128
/backbone/res3/res3.3/conv3/Conv                                                         Conv                   1,082,130,432    0.40%       33,818,624      0.15%       66,048      0.08%       1x128x128x128  1x512x128x128
/backbone/res3/res3.3/Add                                                                Add                    8,388,608        0.00%       33,554,432      0.15%       0           0.00%       1x512x128x128  1x512x128x128
/backbone/res3/res3.3/Relu_2                                                             Relu                   8,388,608        0.00%       33,554,432      0.15%       0           0.00%       1x512x128x128  1x512x128x128
/backbone/res4/res4.0/conv1/Conv                                                         Conv                   2,151,677,952    0.80%       17,302,528      0.08%       131,328     0.16%       1x512x128x128  1x256x128x128
